Home,Away,Winner Code
Brentford,Liverpool,2
Crystal Palace,Chelsea,2
Aston Villa,Manchester Utd,2
West Ham,Arsenal,2
Nottingham,Newcastle,2
Fulham,Bournemouth,1
Liverpool,Burnley,1
Luton,Sheffield Utd,2
Tottenham,Brighton,1
Wolves,Brentford,2
Manchester City,Everton,1
Brentford,Manchester City,2
Arsenal,Liverpool,1
Bournemouth,Nottingham,3
Chelsea,Wolves,2
Manchester Utd,West Ham,1
Sheffield Utd,Aston Villa,2
Brighton,Crystal Palace,1
Burnley,Fulham,3
Newcastle,Luton,3
Everton,Tottenham,3
Wolves,Manchester Utd,2
West Ham,Bournemouth,3
Liverpool,Chelsea,1
Tottenham,Brentford,1
Manchester City,Burnley,1
Aston Villa,Newcastle,2
Crystal Palace,Sheffield Utd,1
Fulham,Everton,3
Luton,Brighton,1
Nottingham,Arsenal,2
Brighton,Wolves,3
Bournemouth,Liverpool,2
Sheffield Utd,West Ham,3
Brentford,Nottingham,1
Arsenal,Crystal Palace,1
Manchester Utd,Tottenham,3
Everton,Aston Villa,3
Newcastle,Manchester City,2
Chelsea,Fulham,1
Burnley,Luton,3
West Ham,Brighton,3
Liverpool,Newcastle,1
Fulham,Arsenal,1
Tottenham,Bournemouth,1
Nottingham,Manchester Utd,1
Aston Villa,Burnley,1
Crystal Palace,Brentford,1
Manchester City,Sheffield Utd,1
Wolves,Everton,1
Luton,Chelsea,2
Arsenal,West Ham,2
Brighton,Tottenham,1
Everton,Manchester City,2
Brentford,Wolves,2
Chelsea,Crystal Palace,1
Manchester Utd,Aston Villa,1
Burnley,Liverpool,2
Bournemouth,Fulham,1
Sheffield Utd,Luton,2
Newcastle,Nottingham,2
Wolves,Chelsea,1
Liverpool,Arsenal,3
Fulham,Burnley,2
Luton,Newcastle,1
Nottingham,Bournemouth,2
Tottenham,Everton,1
West Ham,Manchester Utd,1
Aston Villa,Sheffield Utd,3
Crystal Palace,Brighton,3
Liverpool,Manchester Utd,3
Arsenal,Brighton,1
Brentford,Aston Villa,2
West Ham,Wolves,1
Burnley,Everton,2
Chelsea,Sheffield Utd,1
Manchester City,Crystal Palace,3
Newcastle,Fulham,1
Nottingham,Tottenham,2
Tottenham,Newcastle,1
Everton,Chelsea,1
Fulham,West Ham,1
Luton,Manchester City,2
Aston Villa,Arsenal,1
Brighton,Burnley,3
Manchester Utd,Bournemouth,2
Sheffield Utd,Brentford,1
Wolves,Nottingham,3
Crystal Palace,Liverpool,2
Tottenham,West Ham,2
Everton,Newcastle,1
Aston Villa,Manchester City,1
Manchester Utd,Chelsea,1
Brighton,Brentford,1
Fulham,Nottingham,1
Sheffield Utd,Liverpool,2
Crystal Palace,Bournemouth,2
Luton,Arsenal,2
Wolves,Burnley,1
Manchester City,Tottenham,3
Bournemouth,Aston Villa,3
Chelsea,Brighton,1
Liverpool,Fulham,1
West Ham,Crystal Palace,3
Newcastle,Manchester Utd,1
Nottingham,Everton,2
Arsenal,Wolves,1
Brentford,Luton,1
Burnley,Sheffield Utd,1
Fulham,Wolves,1
Everton,Manchester Utd,2
Tottenham,Aston Villa,2
Brentford,Arsenal,2
Burnley,West Ham,2
Luton,Crystal Palace,1
Newcastle,Chelsea,1
Nottingham,Brighton,2
Sheffield Utd,Bournemouth,2
Manchester City,Liverpool,3
Chelsea,Manchester City,3
Aston Villa,Fulham,1
Brighton,Sheffield Utd,3
Liverpool,Brentford,1
West Ham,Nottingham,1
Bournemouth,Newcastle,1
Crystal Palace,Everton,2
Manchester Utd,Luton,1
Arsenal,Burnley,1
Wolves,Tottenham,1
Tottenham,Chelsea,2
Luton,Liverpool,3
Nottingham,Aston Villa,1
Newcastle,Arsenal,1
Brentford,West Ham,1
Burnley,Crystal Palace,2
Everton,Brighton,3
Manchester City,Bournemouth,1
Sheffield Utd,Wolves,1
Fulham,Manchester Utd,2
Manchester Utd,Manchester City,2
Aston Villa,Luton,1
Brighton,Fulham,3
Liverpool,Nottingham,1
West Ham,Everton,2
Wolves,Newcastle,3
Bournemouth,Burnley,1
Arsenal,Sheffield Utd,1
Chelsea,Brentford,2
Crystal Palace,Tottenham,2
Tottenham,Fulham,1
Aston Villa,West Ham,1
Sheffield Utd,Manchester Utd,2
Chelsea,Arsenal,3
Bournemouth,Wolves,2
Brentford,Burnley,1
Manchester City,Brighton,1
Newcastle,Crystal Palace,1
Nottingham,Luton,3
Liverpool,Everton,1
Arsenal,Manchester City,1
Brighton,Liverpool,3
West Ham,Newcastle,3
Wolves,Aston Villa,3
Crystal Palace,Nottingham,3
Burnley,Chelsea,2
Everton,Bournemouth,1
Fulham,Sheffield Utd,1
Manchester Utd,Brentford,1
Luton,Tottenham,2
Luton,Burnley,2
Fulham,Chelsea,2
Nottingham,Brentford,3
Tottenham,Liverpool,1
Bournemouth,Arsenal,2
Everton,Luton,2
Manchester Utd,Crystal Palace,2
Newcastle,Burnley,1
West Ham,Sheffield Utd,1
Wolves,Manchester City,1
Aston Villa,Brighton,1
Sheffield Utd,Newcastle,2
Arsenal,Tottenham,3
Brighton,Bournemouth,1
Chelsea,Aston Villa,2
Liverpool,West Ham,1
Burnley,Manchester Utd,2
Brentford,Everton,2
Crystal Palace,Fulham,3
Luton,Wolves,3
Manchester City,Nottingham,1
Nottingham,Burnley,3
Everton,Arsenal,2
Bournemouth,Chelsea,3
Newcastle,Brentford,1
Aston Villa,Crystal Palace,1
Fulham,Luton,1
Manchester Utd,Brighton,2
Tottenham,Sheffield Utd,1
West Ham,Manchester City,2
Wolves,Liverpool,2
Arsenal,Manchester Utd,1
Crystal Palace,Wolves,1
Liverpool,Aston Villa,1
Brighton,Newcastle,1
Brentford,Bournemouth,3
Burnley,Tottenham,2
Chelsea,Nottingham,2
Manchester City,Fulham,1
Sheffield Utd,Everton,3
Luton,West Ham,2
Newcastle,Liverpool,2
Burnley,Aston Villa,2
Sheffield Utd,Manchester City,2
Brighton,West Ham,2
Arsenal,Fulham,3
Brentford,Crystal Palace,3
Everton,Wolves,2
Manchester Utd,Nottingham,1
Bournemouth,Tottenham,2
Chelsea,Luton,1
Crystal Palace,Arsenal,2
West Ham,Chelsea,1
Aston Villa,Everton,1
Manchester City,Newcastle,1
Tottenham,Manchester Utd,1
Fulham,Brentford,2
Liverpool,Bournemouth,1
Wolves,Brighton,2
Nottingham,Sheffield Utd,1
Manchester Utd,Wolves,1
Chelsea,Liverpool,3
Brentford,Tottenham,3
Newcastle,Aston Villa,1
Bournemouth,West Ham,3
Brighton,Luton,1
Everton,Fulham,2
Sheffield Utd,Crystal Palace,2
Arsenal,Nottingham,1
Burnley,Manchester City,2